= = = = = = = = = = = = = = = = = = k w ABB-X
= = = = = = = = = = = = = = = = = = l a N-S
= = = = = = = = = = = = = = = = = = l b ABB-X
= = = = = = = = = = = = = = = = = = l l ABB-X
= = = = = = = = = = = = = = = = = = l o I-X
= = = = = = = = = = = = = = = = = = m a N-S
= = = = = = = = = = = = = = = = = = m e PRON-X
= = = = = = = = = = = = = = = = = = m g ABB-X
= = = = = = = = = = = = = = = = = = m i N-S
= = = = = = = = = = = = = = = = = = m m ABB-X
= = = = = = = = = = = = = = = = = = m o N-S
= = = = = = = = = = = = = = = = = = m u N-S
= = = = = = = = = = = = = = = = = = m y PRON-X
= = = = = = = = = = = = = = = = = = n o ADV-b|I-X|N-S|PRON-X
= = = = = = = = = = = = = = = = = = o ' PREP-X
= = = = = = = = = = = = = = = = = = o f PREP-X
= = = = = = = = = = = = = = = = = = o h I-X
= = = = = = = = = = = = = = = = = = o n A-b|ADV-b|N-S|PREP-X
= = = = = = = = = = = = = = = = = = o p ABB-X|N-S
= = = = = = = = = = = = = = = = = = o r C-X
= = = = = = = = = = = = = = = = = = o w I-X
= = = = = = = = = = = = = = = = = = o x N-S
= = = = = = = = = = = = = = = = = = o z ABB-X
= = = = = = = = = = = = = = = = = = p a N-S
= = = = = = = = = = = = = = = = = = p i N-S
= = = = = = = = = = = = = = = = = = p o N-S
= = = = = = = = = = = = = = = = = = p p ABB-X
= = = = = = = = = = = = = = = = = = p t ABB-X
= = = = = = = = = = = = = = = = = = q q ABB-X
= = = = = = = = = = = = = = = = = = q r ABB-X
= = = = = = = = = = = = = = = = = = q t ABB-X
= = = = = = = = = = = = = = = = = = q u ABB-X
= = = = = = = = = = = = = = = = = = r e N-S|PREP-X
= = = = = = = = = = = = = = = = = = r h ABB-X
= = = = = = = = = = = = = = = = = = s h I-X
= = = = = = = = = = = = = = = = = = s i N-S
= = = = = = = = = = = = = = = = = = s o ADV-b|C-X
= = = = = = = = = = = = = = = = = = s q ABB-X
= = = = = = = = = = = = = = = = = = t . ABB-X
= = = = = = = = = = = = = = = = = = t a I-X
= = = = = = = = = = = = = = = = = = t i N-S
= = = = = = = = = = = = = = = = = = t o ADV-b|PREP-X|TO-X
= = = = = = = = = = = = = = = = = = u p A-b|ADV-b|N-S|PREP-X|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = = u s PRON-X
= = = = = = = = = = = = = = = = = = w e PRON-X
= = = = = = = = = = = = = = = = = = w o I-X
= = = = = = = = = = = = = = = = = = w t ABB-X
= = = = = = = = = = = = = = = = = = y d ABB-X
= = = = = = = = = = = = = = = = = = y e ART-X|PRON-X
= = = = = = = = = = = = = = = = = A / C ABB-X
= = = = = = = = = = = = = = = = = A A s N-P+Ds
= = = = = = = = = = = = = = = = = A B C N-S
= = = = = = = = = = = = = = = = = A D C ABB-X
= = = = = = = = = = = = = = = = = A m E ABB-X
= = = = = = = = = = = = = = = = = B B C ABB-X
= = = = = = = = = = = = = = = = = B a r N-S
= = = = = = = = = = = = = = = = = B o b N-S
= = = = = = = = = = = = = = = = = B r E ABB-X
= = = = = = = = = = = = = = = = = C I A ABB-X
= = = = = = = = = = = = = = = = = C I D ABB-X
= = = = = = = = = = = = = = = = = C I F ABB-X
= = = = = = = = = = = = = = = = = C P A ABB-X
= = = = = = = = = = = = = = = = = C o . ABB-X
= = = = = = = = = = = = = = = = = D D T ABB-X
= = = = = = = = = = = = = = = = = D I Y ABB-X
= = = = = = = = = = = = = = = = = D N A ABB-X
= = = = = = = = = = = = = = = = = D o n N-S
= = = = = = = = = = = = = = = = = E C G ABB-X
= = = = = = = = = = = = = = = = = E C T ABB-X
= = = = = = = = = = = = = = = = = E E C ABB-X
= = = = = = = = = = = = = = = = = E E G ABB-X
= = = = = = = = = = = = = = = = = E K G ABB-X
= = = = = = = = = = = = = = = = = E S P ABB-X
= = = = = = = = = = = = = = = = = E v e N-S
= = = = = = = = = = = = = = = = = F B I ABB-X
= = = = = = = = = = = = = = = = = F R S ABB-X
= = = = = = = = = = = = = = = = = G C E ABB-X
= = = = = = = = = = = = = = = = = G H Q ABB-X
= = = = = = = = = = = = = = = = = G L C ABB-X
= = = = = = = = = = = = = = = = = G M T ABB-X
= = = = = = = = = = = = = = = = = G N P ABB-X
= = = = = = = = = = = = = = = = = G P O ABB-X
= = = = = = = = = = = = = = = = = G o d N-S
= = = = = = = = = = = = = = = = = G u s N-S
= = = = = = = = = = = = = = = = = H M S ABB-X
= = = = = = = = = = = = = = = = = H R H ABB-X
= = = = = = = = = = = = = = = = = H u n N-S
= = = = = = = = = = = = = = = = = I ' d CCON-X
= = = = = = = = = = = = = = = = = I ' m CCON-X
= = = = = = = = = = = = = = = = = I O U ABB-X
= = = = = = = = = = = = = = = = = I P A ABB-X
= = = = = = = = = = = = = = = = = I R A ABB-X
= = = = = = = = = = = = = = = = = I T A ABB-X
= = = = = = = = = = = = = = = = = I T N ABB-X
= = = = = = = = = = = = = = = = = I T V ABB-X
= = = = = = = = = = = = = = = = = I U D ABB-X
= = = = = = = = = = = = = = = = = I n c ABB-X
= = = = = = = = = = = = = = = = = J e w N-S
= = = = = = = = = = = = = = = = = J i m N-S
= = = = = = = = = = = = = = = = = J n r ABB-X
= = = = = = = = = = = = = = = = = J o b N-S
= = = = = = = = = = = = = = = = = L C M ABB-X
= = = = = = = = = = = = = = = = = L S D ABB-X
= = = = = = = = = = = = = = = = = L a b ABB-X
= = = = = = = = = = = = = = = = = L e o N-S
= = = = = = = = = = = = = = = = = L i b ABB-X
= = = = = = = = = = = = = = = = = L s d ABB-X
= = = = = = = = = = = = = = = = = M R A ABB-X
= = = = = = = = = = = = = = = = = M S c ABB-X
= = = = = = = = = = = = = = = = = M a o N-S
= = = = = = = = = = = = = = = = = M a y N-S
= = = = = = = = = = = = = = = = = M m e ABB-X
= = = = = = = = = = = = = = = = = M r s N-S
= = = = = = = = = = = = = = = = = N C O ABB-X
= = = = = = = = = = = = = = = = = N H S ABB-X
= = = = = = = = = = = = = = = = = N a n N-S
= = = = = = = = = = = = = = = = = O A P ABB-X
= = = = = = = = = = = = = = = = = O l d A-b
= = = = = = = = = = = = = = = = = P O W ABB-X
= = = = = = = = = = = = = = = = = P P S ABB-X
= = = = = = = = = = = = = = = = = P R O ABB-X
= = = = = = = = = = = = = = = = = P T A ABB-X
= = = = = = = = = = = = = = = = = P V C ABB-X
= = = = = = = = = = = = = = = = = P a m N-S
= = = = = = = = = = = = = = = = = P a n N-S
= = = = = = = = = = = = = = = = = P h D ABB-X
= = = = = = = = = = = = = = = = = Q E D ABB-X
= = = = = = = = = = = = = = = = = R A C ABB-X
= = = = = = = = = = = = = = = = = R I P ABB-X
= = = = = = = = = = = = = = = = = R N A ABB-X
= = = = = = = = = = = = = = = = = R P M ABB-X
= = = = = = = = = = = = = = = = = R S M ABB-X
= = = = = = = = = = = = = = = = = R a m N-S
= = = = = = = = = = = = = = = = = R e d A-b|N-S
= = = = = = = = = = = = = = = = = R e v ABB-X
= = = = = = = = = = = = = = = = = R e x N-S
= = = = = = = = = = = = = = = = = R o n N-S
= = = = = = = = = = = = = = = = = R o y N-S
= = = = = = = = = = = = = = = = = S E N ABB-X
= = = = = = = = = = = = = = = = = S O S ABB-X
= = = = = = = = = = = = = = = = = S R N ABB-X
= = = = = = = = = = = = = = = = = S T D ABB-X
= = = = = = = = = = = = = = = = = S a x N-S
= = = = = = = = = = = = = = = = = S g t ABB-X
= = = = = = = = = = = = = = = = = S i r N-S
= = = = = = = = = = = = = = = = = S n r ABB-X
= = = = = = = = = = = = = = = = = S o l N-S
= = = = = = = = = = = = = = = = = S r i N-S
= = = = = = = = = = = = = = = = = T N T ABB-X
= = = = = = = = = = = = = = = = = T a o N-S
= = = = = = = = = = = = = = = = = T i m N-S
= = = = = = = = = = = = = = = = = T o m N-S
= = = = = = = = = = = = = = = = = U F O ABB-X|N-S
= = = = = = = = = = = = = = = = = U H F ABB-X
= = = = = = = = = = = = = = = = = U N O ABB-X
= = = = = = = = = = = = = = = = = V H F ABB-X
= = = = = = = = = = = = = = = = = V I P ABB-X
= = = = = = = = = = = = = = = = = W A C ABB-X|N-S
= = = = = = = = = = = = = = = = = W H O ABB-X
= = = = = = = = = = = = = = = = = W e d ABB-X
= = = = = = = = = = = = = = = = = Z e n N-S
= = = = = = = = = = = = = = = = = a ' s N-P+D's
= = = = = = = = = = = = = = = = = a b o N-S
= = = = = = = = = = = = = = = = = a c e N-S
= = = = = = = = = = = = = = = = = a c t N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a d d V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a d j ABB-X
= = = = = = = = = = = = = = = = = a d o N-S
= = = = = = = = = = = = = = = = = a d s N-P+Ds
= = = = = = = = = = = = = = = = = a d v ABB-X
= = = = = = = = = = = = = = = = = a f t ADV-b
= = = = = = = = = = = = = = = = = a g e N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a g o ADV-b
= = = = = = = = = = = = = = = = = a h a I-X
= = = = = = = = = = = = = = = = = a i d N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a i l V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a i m N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a i r N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a l b N-S
= = = = = = = = = = = = = = = = = a l e N-S
= = = = = = = = = = = = = = = = = a l l ADV-b|N-S|PRON-X
= = = = = = = = = = = = = = = = = a l p N-S
= = = = = = = = = = = = = = = = = a m p N-S
= = = = = = = = = = = = = = = = = a n d C-X
= = = = = = = = = = = = = = = = = a n t N-S
= = = = = = = = = = = = = = = = = a n y ADV-b|PRON-X
= = = = = = = = = = = = = = = = = a p e N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a p t A-b
= = = = = = = = = = = = = = = = = a r c N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a r e N-S|V-e2S+Dare+Ibe|V-eP+Dare+Ibe
= = = = = = = = = = = = = = = = = a r k N-S
= = = = = = = = = = = = = = = = = a r m N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a r t N-S|V-e2Sr+Dart+Ibe
= = = = = = = = = = = = = = = = = a s h N-S
= = = = = = = = = = = = = = = = = a s k V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a s p N-S
= = = = = = = = = = = = = = = = = a s s N-S
= = = = = = = = = = = = = = = = = a t e V-a1S+Date+Ieat|V-a2S+Date+Ieat|V-a3S+Date+Ieat|V-aP+Date+Ieat
= = = = = = = = = = = = = = = = = a u k N-S
= = = = = = = = = = = = = = = = = a v . ABB-X
= = = = = = = = = = = = = = = = = a w e N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a w l N-S
= = = = = = = = = = = = = = = = = a x e N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = a y e ADV-b|I-X|N-S
= = = = = = = = = = = = = = = = = b ' s N-P+D's
= = = = = = = = = = = = = = = = = b a a N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b a d A-b|N-S
= = = = = = = = = = = = = = = = = b a g N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b a h I-X
= = = = = = = = = = = = = = = = = b a n N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b a r N-S|PREP-X|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b a t N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b a y A-b|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b e d N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b e e N-S
= = = = = = = = = = = = = = = = = b e g V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b e n N-S
= = = = = = = = = = = = = = = = = b e t N-S|V-a1S|V-a2S|V-a3S|V-aP|V-e1S|V-e2S|V-eP|V-i|V-pa
= = = = = = = = = = = = = = = = = b e y N-S
= = = = = = = = = = = = = = = = = b i b N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b i d N-S|V-a1S|V-a2S|V-a3S|V-aP|V-e1S|V-e2S|V-eP|V-i|V-pa
= = = = = = = = = = = = = = = = = b i g A-b|ADV-b
= = = = = = = = = = = = = = = = = b i n N-S
= = = = = = = = = = = = = = = = = b i t N-S|V-a1S+Ie|V-a2S+Ie|V-a3S+Ie|V-aP+Ie
= = = = = = = = = = = = = = = = = b i z N-S
= = = = = = = = = = = = = = = = = b o a N-S
= = = = = = = = = = = = = = = = = b o b N-P|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b o d N-S
= = = = = = = = = = = = = = = = = b o g N-S
= = = = = = = = = = = = = = = = = b o h I-X
= = = = = = = = = = = = = = = = = b o o I-X|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b o p N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b o w N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b o x N-P|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b o y I-X|N-S
= = = = = = = = = = = = = = = = = b r a N-S
= = = = = = = = = = = = = = = = = b u d N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b u g N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b u m A-b|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b u n N-S
= = = = = = = = = = = = = = = = = b u s N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b u t ADV-b|C-X|N-S|PREP-X|PRON-X
= = = = = = = = = = = = = = = = = b u y N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = b y e I-X|N-S
= = = = = = = = = = = = = = = = = c ' s N-P+D's
= = = = = = = = = = = = = = = = = c / o ABB-X
= = = = = = = = = = = = = = = = = c a b N-S
= = = = = = = = = = = = = = = = = c a d N-S
= = = = = = = = = = = = = = = = = c a m N-S
= = = = = = = = = = = = = = = = = c a n N-S|V-e1S|V-e2S|V-e3S|V-eP|V-i
= = = = = = = = = = = = = = = = = c a p N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c a r N-S
= = = = = = = = = = = = = = = = = c a t N-S
= = = = = = = = = = = = = = = = = c a w N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c f . ABB-X
= = = = = = = = = = = = = = = = = c h i N-S
= = = = = = = = = = = = = = = = = c o b N-S
= = = = = = = = = = = = = = = = = c o d N-P|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c o g N-S
= = = = = = = = = = = = = = = = = c o l N-S
= = = = = = = = = = = = = = = = = c o n ADV-b|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c o o N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c o p N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c o r I-X
= = = = = = = = = = = = = = = = = c o s ABB-X|C-X|N-P|N-S
= = = = = = = = = = = = = = = = = c o t ABB-X|N-S
= = = = = = = = = = = = = = = = = c o w N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c o x N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c o y A-b
= = = = = = = = = = = = = = = = = c r y N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c u . ABB-X
= = = = = = = = = = = = = = = = = c u b N-S
= = = = = = = = = = = = = = = = = c u d N-S
= = = = = = = = = = = = = = = = = c u e N-S
= = = = = = = = = = = = = = = = = c u p N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = c u r N-S
= = = = = = = = = = = = = = = = = c u t N-S|V-a1S|V-a2S|V-a3S|V-aP|V-e1S|V-e2S|V-eP|V-i|V-pa
= = = = = = = = = = = = = = = = = c w m N-S
= = = = = = = = = = = = = = = = = c w t ABB-X
= = = = = = = = = = = = = = = = = d ' s N-P+D's
= = = = = = = = = = = = = = = = = d a b N-P|N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d a d N-S
= = = = = = = = = = = = = = = = = d a m N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d a y N-S
= = = = = = = = = = = = = = = = = d e b N-S
= = = = = = = = = = = = = = = = = d e f ABB-X
= = = = = = = = = = = = = = = = = d e n N-S
= = = = = = = = = = = = = = = = = d e w N-S
= = = = = = = = = = = = = = = = = d i b V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d i d V-a1S+Did+Io|V-a2S+Did+Io|V-a3S+Did+Io|V-aP+Did+Io
= = = = = = = = = = = = = = = = = d i e N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d i g N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d i m A-b|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d i n N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d i p N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d o c N-S
= = = = = = = = = = = = = = = = = d o e N-S
= = = = = = = = = = = = = = = = = d o g N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d o n N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d o s N-P+Ds
= = = = = = = = = = = = = = = = = d o t N-S|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d p t ABB-X
= = = = = = = = = = = = = = = = = d r y A-b|V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d u b V-e1S|V-e2S|V-eP|V-i
= = = = = = = = = = = = = = = = = d u d A-b|N-S
= = = = = = = = = = = = = = = = = d u e A-b|ADV-b|N-S|PREP-X
= = = = = = = = = = = = = = = = = d u g N-S|V-a1S+Dug+Iig|V-a2S+Dug+Iig|V-a3S+Dug+Iig|V-aP+Dug+Iig|V-pa+Dug+Iig
